model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc
Task-Aware CM (Backbone Only),2.421438694000244e-07,0.30275482093663914,0.5066248506571087,0.25895814513700693,0.9247311827956989,0.08851851851819068,0.4046106798400376,0.4793793309438471
Task-Aware CM (Deep MLP),0.286119669675827,0.5476584022038568,0.5144145758661888,0.2691309987029831,0.44623655913978494,0.5825925925904348,0.33576051779935273,0.5205686977299879
DCS Fusion,0.6006744503974915,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
QFL Fusion,0.4918033480644226,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8645234966148945
