model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc
Task-Aware CM (Backbone Only),-0.009615212678909302,0.30275482093663914,0.5066248506571087,0.25895814513700693,0.9247311827956989,0.08851851851819068,0.4046106798400376,0.4793793309438471
Task-Aware CM (Deep MLP),0.4088984727859497,0.6168044077134986,0.5059139784946236,0.26455566905005107,0.278494623655914,0.7333333333306173,0.2713462545835516,0.4934221425726802
DCS Fusion,-0.36289262771606445,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
QFL Fusion,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.13473516527279966
