model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc
Visual-Only Swin Transformer,0.47491638795986624,0.5529861616897305,0.5714070672714702,0.36849458609849806,0.6198589894242068,0.5229551451173537,0.46221248630887185,0.6008103147313884
Task-Aware Swin Transformer,0.4615384615384615,0.5829561417199938,0.6029730452010704,0.38038793103448276,0.6519788918205804,0.5539671985809463,0.4804588761423294,0.6414005922640768
DCS Fusion,0.5535445312991191,0.9231404958677686,0.8552867383512546,0.9779735682819384,0.7161290322580646,0.9944444444407614,0.8268156424581006,0.8652648347272003
QFL Fusion,0.42720137132848784,0.9231404958677686,0.8552867383512546,0.9779735682819384,0.7161290322580646,0.9944444444407614,0.8268156424581006,0.8645814416567105
