model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1_score,roc_auc
DCS_RF,0.5,0.8909090909090909,0.8392592592592593,0.8216867469879519,0.7333333333333333,0.9451851851816845,0.775,0.866505774591796
SwinNet_2D,0.5,0.5713498622589531,0.517299880525687,0.2735166425470333,0.4064516129032258,0.6281481481458216,0.32698961937716264,0.5335362405416169
