model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc
CM-Only (Image),0.25431710840467625,0.5520661157024793,0.5261887694145759,0.27918781725888325,0.4731182795698925,0.5792592592571139,0.35115722266560256,0.5200953803265632
Task-Aware CM (Image),0.26241958016735256,0.6457300275482094,0.5123178016726404,0.2775,0.23870967741935484,0.7859259259230151,0.2566473988439306,0.5101461569095977
SC-Only (Clinical Text),0.5535435130364919,0.9231404958677686,0.8552867383512546,0.9779735682819384,0.7161290322580646,0.9944444444407614,0.8268156424581006,0.8652648347272003
CM + SC (Naive Fusion),0.5535445312991191,0.9231404958677686,0.8552867383512546,0.9779735682819384,0.7161290322580646,0.9944444444407614,0.8268156424581006,0.8652648347272003
DCS Fusion,0.5535445312991191,0.9231404958677686,0.8552867383512546,0.9779735682819384,0.7161290322580646,0.9944444444407614,0.8268156424581006,0.8652648347272003
QFL Fusion,0.42720137132848784,0.9231404958677686,0.8552867383512546,0.9779735682819384,0.7161290322580646,0.9944444444407614,0.8268156424581006,0.8645814416567105
