model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc
QFL,0.5,0.9236914600550964,0.8531899641577061,0.9909774436090225,0.7086021505376344,0.9977777777740824,0.826332288401254,0.8645810434090004
DCS,0.5,0.9179063360881543,0.85247311827957,0.9488636363636364,0.7182795698924731,0.9866666666630124,0.817625458996328,0.8652648347272003
SwinNet_Proxy,0.5326633165829145,0.7170798898071625,0.7005555555555556,0.4637247569184742,0.6666666666666666,0.7344444444417243,0.5469783855315394,0.763621266427718
