model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc
Task-Aware CM (Backbone Only),2.421438694000244e-07,0.30275482093663914,0.5066248506571087,0.25895814513700693,0.9247311827956989,0.08851851851819068,0.4046106798400376,0.4793793309438471
Task-Aware CM (Deep MLP),-1.868822693824768,0.2898071625344353,0.5063799283154122,0.25878220140515223,0.9505376344086022,0.06222222222199177,0.4068108605614358,0.47877160493827164
DCS Fusion,0.6006744503974915,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
QFL Fusion,0.4918033480644226,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8645234966148945
