file_name,unique_subjects,unique_visits,outcome_0,outcome_1,outcome_empty,sample_subject_ids,sample_study_ids
FULL_CSV,9624.0,18306.0,12814.0,5492.0,0.0,,
TRAIN_CM_CSV,7575.0,12814.0,,,,,
TRAIN_SC_CSV,7575.0,12814.0,,,,,
TEST_CSV,4036.0,5492.0,3790.0,1702.0,0.0,,
TEST_CM_OUT,4036.0,5492.0,,,,,
TEST_SC_OUT,2981.0,3630.0,,,,,
TRAIN_CM_SC_vs_FULL,,,11061.0,,,"11401408,18871231,18871231,11440498,11440498","55359327,50580457,50580457,50723076,50723076"
